Sourcefile	20210805 154301 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 04:01:12.927 PM

Start Time	8/5/2021 03:43:10.017 PM
End Time	8/5/2021 04:00:58.653 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 03:44:35.506 PM	85.490	7.131944e-011	8/5/2021 03:44:35.568 PM	85.552	1.656199e-010	8/5/2021 03:44:35.783 PM	85.766	9.732329e-011	8/5/2021 03:44:35.998 PM	85.981	3.853702e-012	8/5/2021 03:44:36.536 PM	86.519	1.447448e-012	8/5/2021 03:44:37.073 PM	87.057	1.463436e-014	8/5/2021 03:44:37.153 PM	87.137	8.920279e-009
8/5/2021 03:44:37.214 PM	87.197	7.135301e-011	8/5/2021 03:44:37.274 PM	87.258	1.657990e-010	8/5/2021 03:44:37.489 PM	87.473	9.669242e-011	8/5/2021 03:44:37.704 PM	87.688	4.022648e-012	8/5/2021 03:44:38.242 PM	88.226	1.451926e-012	8/5/2021 03:44:38.781 PM	88.764	1.836467e-014	8/5/2021 03:44:38.858 PM	88.842	8.962178e-009
8/5/2021 03:44:38.920 PM	88.904	7.137149e-011	8/5/2021 03:44:38.983 PM	88.966	1.650863e-010	8/5/2021 03:44:39.198 PM	89.181	9.667654e-011	8/5/2021 03:44:39.414 PM	89.397	3.962396e-012	8/5/2021 03:44:39.951 PM	89.934	1.415545e-012	8/5/2021 03:44:40.489 PM	90.473	2.004944e-014	8/5/2021 03:44:40.568 PM	90.552	8.962178e-009
8/5/2021 03:44:40.630 PM	90.613	7.039327e-011	8/5/2021 03:44:40.691 PM	90.675	1.651864e-010	8/5/2021 03:44:40.905 PM	90.889	9.635969e-011	8/5/2021 03:44:41.121 PM	91.105	3.924556e-012	8/5/2021 03:44:41.660 PM	91.643	1.404652e-012	8/5/2021 03:44:42.198 PM	92.181	2.156055e-014	8/5/2021 03:44:42.277 PM	92.260	8.962178e-009
8/5/2021 03:44:42.337 PM	92.321	7.096907e-011	8/5/2021 03:44:42.400 PM	92.383	1.652057e-010	8/5/2021 03:44:42.614 PM	92.597	9.662798e-011	8/5/2021 03:44:42.832 PM	92.816	3.995479e-012	8/5/2021 03:44:43.370 PM	93.354	1.394207e-012	8/5/2021 03:44:43.909 PM	93.892	1.511353e-014	8/5/2021 03:44:43.987 PM	93.971	8.920279e-009
8/5/2021 03:44:44.048 PM	94.032	7.121281e-011	8/5/2021 03:44:44.110 PM	94.093	1.657190e-010	8/5/2021 03:44:44.323 PM	94.307	9.709501e-011	8/5/2021 03:44:44.538 PM	94.522	3.994193e-012	8/5/2021 03:44:45.077 PM	95.060	1.393129e-012	8/5/2021 03:44:45.616 PM	95.599	1.940148e-014	8/5/2021 03:44:45.694 PM	95.677	8.920279e-009
8/5/2021 03:44:45.754 PM	95.738	7.029814e-011	8/5/2021 03:44:45.816 PM	95.800	1.657282e-010	8/5/2021 03:44:46.032 PM	96.015	9.686942e-011	8/5/2021 03:44:46.252 PM	96.235	4.037196e-012	8/5/2021 03:44:46.792 PM	96.775	1.403889e-012	8/5/2021 03:44:47.330 PM	97.314	1.829538e-014	8/5/2021 03:44:47.411 PM	97.395	8.962178e-009
8/5/2021 03:44:47.473 PM	97.457	7.264140e-011	8/5/2021 03:44:47.536 PM	97.519	1.651071e-010	8/5/2021 03:44:47.750 PM	97.733	9.601818e-011	8/5/2021 03:44:47.968 PM	97.952	3.932666e-012	8/5/2021 03:44:48.510 PM	98.493	1.416159e-012	8/5/2021 03:44:49.050 PM	99.034	1.947565e-014	8/5/2021 03:44:49.128 PM	99.112	8.962178e-009
8/5/2021 03:44:49.191 PM	99.174	7.133995e-011	8/5/2021 03:44:49.253 PM	99.236	1.656843e-010	8/5/2021 03:44:49.468 PM	99.451	9.650810e-011	8/5/2021 03:44:49.681 PM	99.665	3.936208e-012	8/5/2021 03:44:50.221 PM	100.204	1.417944e-012	8/5/2021 03:44:50.760 PM	100.744	2.174491e-014	8/5/2021 03:44:50.840 PM	100.823	8.962178e-009
8/5/2021 03:44:50.902 PM	100.885	7.053059e-011	8/5/2021 03:44:50.963 PM	100.947	1.646893e-010	8/5/2021 03:44:51.178 PM	101.162	9.621258e-011	8/5/2021 03:44:51.398 PM	101.381	4.061425e-012	8/5/2021 03:44:51.938 PM	101.922	1.401724e-012	8/5/2021 03:44:52.478 PM	102.461	1.486571e-014	8/5/2021 03:44:52.557 PM	102.540	8.962178e-009
8/5/2021 03:44:52.617 PM	102.601	7.118314e-011	8/5/2021 03:44:52.680 PM	102.663	1.648697e-010	8/5/2021 03:44:52.895 PM	102.878	9.681298e-011	8/5/2021 03:44:53.111 PM	103.094	3.861353e-012	8/5/2021 03:44:53.650 PM	103.634	1.395410e-012	8/5/2021 03:44:54.191 PM	104.174	1.823679e-014	8/5/2021 03:44:54.270 PM	104.253	8.962178e-009
