Sourcefile	20210805 093341 Meng_500ms_CO2_2panel.qmp
Exporttime	8/5/2021 11:40:38.550 AM

Start Time	8/5/2021 09:33:54.686 AM
End Time	8/5/2021 11:40:28.755 AM

		18			28			32			40			44			45			47			49			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 09:35:56.694 AM	122.008	1.166957e-010	8/5/2021 09:35:56.909 AM	122.223	1.519021e-010	8/5/2021 09:35:57.447 AM	122.761	8.564707e-011	8/5/2021 09:35:57.987 AM	123.302	3.610146e-012	8/5/2021 09:35:58.527 AM	123.841	3.824855e-013	8/5/2021 09:35:59.066 AM	124.381	4.343185e-016	8/5/2021 09:35:59.605 AM	124.919	-4.753693e-015	8/5/2021 09:36:00.144 AM	125.459	-5.453852e-015	8/5/2021 09:36:00.223 AM	125.537	9.392108e-009
8/5/2021 09:36:00.286 AM	125.600	1.171383e-010	8/5/2021 09:36:00.501 AM	125.815	1.522297e-010	8/5/2021 09:36:01.040 AM	126.355	8.556834e-011	8/5/2021 09:36:01.581 AM	126.895	3.581642e-012	8/5/2021 09:36:02.120 AM	127.434	3.804462e-013	8/5/2021 09:36:02.659 AM	127.974	1.950311e-015	8/5/2021 09:36:03.197 AM	128.511	-4.533329e-015	8/5/2021 09:36:03.737 AM	129.052	-5.187704e-015	8/5/2021 09:36:03.815 AM	129.129	9.392108e-009
8/5/2021 09:36:03.878 AM	129.192	1.188689e-010	8/5/2021 09:36:04.093 AM	129.407	1.518191e-010	8/5/2021 09:36:04.632 AM	129.947	8.542365e-011	8/5/2021 09:36:05.173 AM	130.487	3.585554e-012	8/5/2021 09:36:05.712 AM	131.026	3.731099e-013	8/5/2021 09:36:06.250 AM	131.565	-1.954584e-015	8/5/2021 09:36:06.787 AM	132.102	-2.812232e-015	8/5/2021 09:36:07.326 AM	132.640	-4.033390e-015	8/5/2021 09:36:07.405 AM	132.719	9.436223e-009
8/5/2021 09:36:07.466 AM	132.781	1.172318e-010	8/5/2021 09:36:07.680 AM	132.995	1.514101e-010	8/5/2021 09:36:08.221 AM	133.535	8.570442e-011	8/5/2021 09:36:08.759 AM	134.073	3.580048e-012	8/5/2021 09:36:09.297 AM	134.612	3.469092e-013	8/5/2021 09:36:09.836 AM	135.150	-2.375168e-015	8/5/2021 09:36:10.374 AM	135.688	-6.870040e-015	8/5/2021 09:36:10.913 AM	136.228	-4.683802e-015	8/5/2021 09:36:10.992 AM	136.307	9.348199e-009
8/5/2021 09:36:11.054 AM	136.368	1.185224e-010	8/5/2021 09:36:11.267 AM	136.582	1.502423e-010	8/5/2021 09:36:11.806 AM	137.120	8.533847e-011	8/5/2021 09:36:12.344 AM	137.659	3.526023e-012	8/5/2021 09:36:12.881 AM	138.196	3.413672e-013	8/5/2021 09:36:13.420 AM	138.734	-3.272801e-015	8/5/2021 09:36:13.958 AM	139.272	1.124404e-015	8/5/2021 09:36:14.496 AM	139.810	-2.419424e-015	8/5/2021 09:36:14.574 AM	139.888	9.348199e-009
8/5/2021 09:36:14.636 AM	139.950	1.193872e-010	8/5/2021 09:36:14.850 AM	140.165	1.510027e-010	8/5/2021 09:36:15.392 AM	140.707	8.553441e-011	8/5/2021 09:36:15.932 AM	141.246	3.583707e-012	8/5/2021 09:36:16.472 AM	141.786	3.805264e-013	8/5/2021 09:36:17.013 AM	142.327	-2.837260e-015	8/5/2021 09:36:17.552 AM	142.867	-1.164998e-015	8/5/2021 09:36:18.093 AM	143.407	-8.092421e-015	8/5/2021 09:36:18.170 AM	143.485	9.348199e-009
8/5/2021 09:36:18.233 AM	143.548	1.165124e-010	8/5/2021 09:36:18.448 AM	143.762	1.511214e-010	8/5/2021 09:36:18.988 AM	144.302	8.540103e-011	8/5/2021 09:36:19.528 AM	144.842	3.493554e-012	8/5/2021 09:36:20.067 AM	145.382	3.720143e-013	8/5/2021 09:36:20.608 AM	145.922	-4.158527e-015	8/5/2021 09:36:21.146 AM	146.461	-1.927725e-015	8/5/2021 09:36:21.687 AM	147.001	-5.303688e-015	8/5/2021 09:36:21.766 AM	147.080	9.392108e-009
8/5/2021 09:36:21.826 AM	147.141	1.181899e-010	8/5/2021 09:36:22.041 AM	147.356	1.513389e-010	8/5/2021 09:36:22.583 AM	147.897	8.592237e-011	8/5/2021 09:36:23.121 AM	148.436	3.555308e-012	8/5/2021 09:36:23.663 AM	148.977	3.641579e-013	8/5/2021 09:36:24.202 AM	149.517	-4.067270e-015	8/5/2021 09:36:24.742 AM	150.056	-3.299354e-016	8/5/2021 09:36:25.283 AM	150.598	-5.325968e-015	8/5/2021 09:36:25.361 AM	150.676	9.392108e-009
8/5/2021 09:36:25.424 AM	150.738	1.189158e-010	8/5/2021 09:36:25.639 AM	150.953	1.515380e-010	8/5/2021 09:36:26.179 AM	151.494	8.517247e-011	8/5/2021 09:36:26.719 AM	152.033	3.616725e-012	8/5/2021 09:36:27.258 AM	152.573	3.867875e-013	8/5/2021 09:36:27.800 AM	153.114	-1.316689e-015	8/5/2021 09:36:28.337 AM	153.652	-3.480344e-015	8/5/2021 09:36:28.878 AM	154.192	-1.010438e-014	8/5/2021 09:36:28.956 AM	154.270	9.392108e-009
8/5/2021 09:36:29.017 AM	154.332	1.159809e-010	8/5/2021 09:36:29.232 AM	154.547	1.510594e-010	8/5/2021 09:36:29.775 AM	155.089	8.514656e-011	8/5/2021 09:36:30.312 AM	155.627	3.481806e-012	8/5/2021 09:36:30.854 AM	156.168	3.713961e-013	8/5/2021 09:36:31.393 AM	156.708	-6.232145e-015	8/5/2021 09:36:31.933 AM	157.247	-5.635759e-015	8/5/2021 09:36:32.472 AM	157.786	-4.796118e-015	8/5/2021 09:36:32.550 AM	157.864	9.392108e-009
