time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,cyt_CO2
6323.656999999999,17.024427633419563,2541.4205773059025,378.0171044658373,3.945851857370807e-18,5.442080687858397e-19,3.4016437885849667e-18,14.777729978358732
6327.243,17.007136711815246,2541.305328792428,378.14964390091586,3.950902253501367e-18,5.487996833590085e-19,3.4021025701423587e-18,14.760136043413441
6330.8369999999995,16.990139221082785,2541.189598617207,378.28237156686976,3.955764181729342e-18,5.532500175792465e-19,3.402514164150096e-18,14.742866705494887
6334.429,16.97343099255663,2541.0733977647137,378.4152806478889,3.9604326653552294e-18,5.575500371127576e-19,3.4028826282424714e-18,14.725915115975116
6338.019,16.957007791145493,2540.9567374965254,378.5483641174888,3.9649027609819824e-18,5.616907817235997e-19,3.403211979258382e-18,14.709274386744745
6341.607,16.940865318343207,2540.839629346773,378.6816147400432,3.969169573061141e-18,5.656633834453656e-19,3.4035061896157746e-18,14.6929375956184
6345.194,16.92499921531083,2540.7220851169786,378.8150250728697,3.973228268399198e-18,5.694590846618372e-19,3.403769183737361e-18,14.676897791777536
6348.781999999999,16.90940506602629,2540.604116870265,378.94858746886814,3.977074090603483e-18,5.730692560723343e-19,3.4040048345311477e-18,14.661148001244612
6352.376,16.894078400497705,2540.4857369249544,379.08229407970725,3.980702374447475e-18,5.764854145182292e-19,3.404216959929245e-18,14.64568123238243
6355.969,16.879014698036567,2540.366957847567,379.2161368595561,3.984108560135167e-18,5.796992406468737e-19,3.4044093194882938e-18,14.630490481412659
6359.555,16.864209390587057,2540.247792445215,379.3501075693573,3.987288207444652e-18,5.827025963901316e-19,3.40458561105452e-18,14.615568737947779
6363.135,16.849657866107613,2540.1282537574143,379.4841977816377,3.9902370097309446e-18,5.854875422344488e-19,3.404749467496496e-18,14.600908990530593
6366.72,16.835355472001023,2540.008355047308,379.61839888584996,3.99295080776806e-18,5.880463542597176e-19,3.4049044535083427e-18,14.58650423217571
6370.307,16.821297518589244,2539.888109792328,379.7527020942422,3.9954256034105976e-18,5.9037154092442185e-19,3.405054062486175e-18,14.572347465907393
6373.9,16.80747928262924,2539.7675316742834,379.8870984482469,3.997657573054737e-18,5.924558595744736e-19,3.4052017134802642e-18,14.558431710288424
6377.4890000000005,16.793896010866117,2539.6466345689087,380.02157882538427,3.999643080878737e-18,5.942923326532344e-19,3.4053507482255022e-18,14.544750004934524
6381.076,16.780542923619784,2539.5254325348674,380.1561339466723,4.001378691842796e-18,5.958742635902947e-19,3.405504428252501e-18,14.531295416009078
6384.666,16.76741521840161,2539.4039398022223,380.29075438453555,4.0028611844279284e-18,5.971952523463225e-19,3.4056659320816055e-18,14.518061041693054
6388.2519999999995,16.75450807355738,2539.282170760398,380.425430571204,4.0040875630935775e-18,5.9824921059148585e-19,3.4058383525020914e-18,14.505040017624994
6391.848000000001,16.741816651932897,2539.1601399456326,380.56015280759385,4.005055070433317e-18,5.990303764946001e-19,3.4060246939387166e-18,14.492225522305931
6395.443,16.729336104558705,2539.037862027942,380.69491127265877,4.005761199007848e-18,5.995333291001115e-19,3.4062278699077358e-18,14.479610782464354
6399.043000000001,16.71706157435038,2538.9153517976065,380.8296960332028,4.006203702834423e-18,5.997530022699899e-19,3.4064507005644326e-18,14.467189078376286
6402.635,16.70498819982086,2538.792624151196,380.9644970541427,4.006380608511473e-18,5.996846981671831e-19,3.4066959103442897e-18,14.454953749135559
6406.218000000001,16.69311111880125,2538.6696940771512,381.09930420920676,4.00629022595709e-18,5.993241002572962e-19,3.406966125699794e-18,14.442898197869415
6409.804,16.681425472166662,2538.5465766409325,381.2341072920602,4.005931158740079e-18,5.986672858051597e-19,3.4072638729349194e-18,14.431015896894591
6413.385,16.66992640756363,2538.4232869697566,381.3688960278391,4.005302313981923e-18,5.977107378426802e-19,3.407591576139243e-18,14.419300392809216
6416.968000000001,16.658609083135627,2538.299840236941,381.50366008508286,4.004402911808366e-18,5.964513565846342e-19,3.4079515552237332e-18,14.407745311515633
6420.556,16.647468671243136,2538.1762516458693,381.63838908804695,4.003232494328663e-18,5.948864702683958e-19,3.4083460240602673e-18,14.396344363169264
6424.143,16.636500362175017,2538.052536413605,381.7730726293793,4.001790934120698e-18,5.930138453938073e-19,3.4087770887268903e-18,14.385091347048945
6427.732,16.62569936784755,2537.928709754165,381.90770028314665,4.000078442200097e-18,5.908316963391433e-19,3.4092467458609534e-18,14.373980156343679
6431.311,16.615060925487768,2537.804786861484,382.04226161818747,3.998095575451422e-18,5.883386943290926e-19,3.40975688112233e-18,14.363004782850972
6434.891,16.604580301297638,2537.680782892084,382.17674621177764,3.995843243499612e-18,5.855339757308389e-19,3.4103092677687733e-18,14.352159321581953
6438.473000000001,16.594252794095674,2537.556712947478,382.3111436635857,3.993322715000063e-18,5.824171496543721e-19,3.410905565345691e-18,14.341437975268358
6442.064,16.58407373893236,2537.43259205633,382.4454436098973,3.990535623326e-18,5.789883048333883e-19,3.4115473184926123e-18,14.330835058766255
6445.658,16.574038510676022,2537.3084351563953,382.579635738088,3.987483971631919e-18,5.752480157633854e-19,3.412235955868534e-18,14.320345003351687
6449.2480000000005,16.564142527565526,2537.184257076274,382.7137098013198,3.984170137272652e-18,5.711973480741039e-19,3.412972789198548e-18,14.309962360903057
6452.835999999999,16.55438125472624,2537.060072516994,382.84765563343916,3.980596875557786e-18,5.668378631137958e-19,3.4137590124439902e-18,14.299681807965188
6456.427,16.544750207645652,2536.9358960334635,382.98146316405007,3.976767322821995e-18,5.621716217234464e-19,3.4145957010985484e-18,14.289498149689823
6460.014,16.535244955605002,2536.8117420158173,383.11512243373727,3.972684998792296e-18,5.572011871797155e-19,3.415483811612581e-18,14.279406323647507
6463.597,16.525861125063248,2536.687624670684,383.24862360941233,3.9683538082345504e-18,5.519296272864969e-19,3.416424180948053e-18,14.269401403505487
6467.185,16.516594402989643,2536.5635580024145,383.38195699975523,3.963778041861759e-18,5.463605155953379e-19,3.4174175262664203e-18,14.259478602566444
6470.774,16.507440540141197,2536.4395557942958,383.5151130707227,3.958962376488312e-18,5.404979317366433e-19,3.4184644447516685e-18,14.249633277162824
6474.356,16.4983953542811,2536.315631589786,383.6480824610927,3.953911874415145e-18,5.343464608442033e-19,3.4195654135709407e-18,14.239860929901274
6477.939,16.48945473333451,2536.191798673807,383.78085599801767,3.948631982032122e-18,5.279111920573478e-19,3.420720789974774e-18,14.230157212752221
6481.53,16.480614638477544,2536.0680700541293,383.9134247125527,3.943128527625158e-18,5.211977160859237e-19,3.421930811539234e-18,14.22051792997894
6485.116,16.471871107155838,2535.9444584428757,384.0457798551279,3.937407718385833e-18,5.142121218356474e-19,3.4231955965501856e-18,14.210939040902316
6488.701999999999,16.46322025602853,2535.820976238197,384.1779129109338,3.93147613660944e-18,5.069609920768237e-19,3.4245151445326158e-18,14.201416662495223
6492.285,16.454658283833872,2535.6976355061406,384.30981561518496,3.9253407350698005e-18,4.994513981422013e-19,3.425889336927599e-18,14.19194707180101
6495.875,16.44618147417237,2535.574447962757,384.4414799682298,3.9190088315609935e-18,4.916908936416089e-19,3.4273179379193846e-18,14.182526708170386
6499.456999999999,16.437786198203522,2535.451424956483,384.57289825047275,3.91248810259836e-18,4.836875071835247e-19,3.4288005954148357e-18,14.173152175311245
6503.04,16.429468917252763,2535.3285774508295,384.7040630370771,3.905786576273562e-18,4.754497340967784e-19,3.4303368421767835e-18,14.16382024314708
6506.619000000001,16.421226185324315,2535.2059160074214,384.83496721241335,3.898912624260506e-18,4.669865271472225e-19,3.431926097113283e-18,14.154527849478297
